ra,hd,hr,gl,bf,dec,proper,dist,mag,ci,spect,con
0.269115,224834.0,9081.0,,Tau Phe,-48.809876,,181.8182,5.71,#FFE5CE,G8III,Phoenix
0.333825,224865.0,9082.0,,,-50.337373,,166.3894,5.53,#FDC590,M2III,Phoenix
0.39924000000000004,224889.0,9084.0,,The Oct,-77.065724,,66.5779,4.78,#FFD5AD,K2III,Octans
0.404235,224893.0,9085.0,,,61.222801000000004,,943.3962,5.58,#F5F2FC,F0III,Cassiopeia
0.45603,224926.0,9087.0,,29    Psc,-3.027504,,139.2758,5.13,#BED2FF,B7III-IV,Pisces
0.49008,224935.0,9089.0,,30    Psc,-6.0140720000000005,,132.4503,4.37,#FDC58E,M3III,Pisces
0.5420849999999999,224930.0,9088.0,Gl 914A,85    Peg,27.082256,,12.1699,5.8,#FFEFE4,G3V,Pegasus
0.583005,224990.0,9091.0,,Zet Scl,-29.720414,,154.0832,5.04,#BCD1FF,B4V,Sculptor
0.62376,225003.0,9093.0,,32    Psc,8.485463000000001,,36.9004,5.7,#EEF0FF,F0V,Pisces
0.650355,225009.0,9094.0,,,66.098966,,100000.0,5.87,#FFDDBE,G8III,Cassiopeia
0.93495,225132.0,9098.0,,2    Cet,-17.335988,,83.4725,4.55,#C5D6FD,B9IVn,Cetus
1.05693,225180.0,9100.0,,9    Cas,62.287664,,100000.0,5.9,#EAEEFF,A1III,Cassiopeia
1.0824749999999999,225197.0,9101.0,,,-16.529035999999998,,90.6618,5.78,#FFDDBD,K0III,Cetus
1.1254950000000001,225212.0,9103.0,,3    Cet,-10.509523,,641.0256,4.99,#FDC58F,K3Ibvar,Cetus
1.171965,225253.0,9108.0,,,-71.436891,,175.4386,5.59,#C0D4FE,B8III,Tucana
1.17456,225216.0,9104.0,,,67.166445,,92.6784,5.68,#FFDEC0,K1III,Cepheus
1.275585,225289.0,9110.0,,,61.31397,,221.7295,5.8,#C3D5FD,B8MNp...,Cassiopeia
1.33392,28.0,3.0,,33    Psc,-5.707618,,39.4945,4.61,#FFE0C2,K1III,Pisces
1.424835,87.0,4.0,,86    Peg,13.396266,,114.2857,5.55,#FFE6CF,G5III,Pegasus
1.56534,123.0,5.0,Gl 4.1A,,58.436733,,21.4777,5.98,#FFEFE5,G5V,Cassiopeia
1.5791549999999999,142.0,6.0,Gl 4.2A,,-49.075191,,25.7136,5.7,#FBF3F4,G1IV...,Phoenix
1.6105500000000001,144.0,7.0,,10    Cas,64.196168,,265.9574,5.57,#C7D8FD,B9III,Cassiopeia
1.945395,319.0,12.0,,,-22.50856,,78.3699,5.93,#DAE4FF,A1V,Cetus
2.014545,344.0,13.0,,,-33.529326,,94.9668,5.67,#FFDBBA,K1III,Sculptor
2.07306,360.0,16.0,,,-8.824112,,98.4252,5.99,#FFDFC2,G8III:,Cetus
2.096865,358.0,15.0,,21Alp And,29.090432,Alpheratz,29.7442,2.07,#C6D7FD,B9p,Andromeda
2.26008,448.0,22.0,,87    Peg,18.211963,,87.4126,5.57,#FFDFC1,G9III,Pegasus
2.293305,432.0,21.0,Gl 8,11Bet Cas,59.14978000000001,Caph,16.7842,2.28,#F4F2FD,F2III-IV,Cassiopeia
2.3377649999999996,493.0,24.0,,Kap1Scl,-27.987928000000004,,77.4593,5.42,#F6F3FB,F3V,Sculptor
