NOMBRE;ESTADO;MASA;DESCUBRIMIENTO;ACTUALIZACION;ESTADO_PUBLICACION;TIPO_DETECCION;RA;DEC;DISTANCIA_ESTRELLA;MASA_ESTRELLA
OGLE-2016-BLG-1469L b;Confirmed;13.6;2017;8/19/2017;Published in a refereed paper;Microlensing;271.94575;-26.2898889;4500;0.048
11 Com b;Confirmed;19.4;2008;8/21/2015;Published in a refereed paper;Radial Velocity;185.1791667;17.7927778;110.6;2.7
11 Oph b;Confirmed;21;2007;2/26/2016;Published in a refereed paper;Imaging;245.6041667;-24.0872222;145;0.0162
11 UMi b;Confirmed;10.5;2009;8/13/2009;Published in a refereed paper;Radial Velocity;229.275;71.8238889;119.5;1.8
14 And b;Confirmed;5.33;2008;8/27/2014;Published in a refereed paper;Radial Velocity;352.8208333;39.2361111;76.4;2.2
14 Her b;Confirmed;4.64;2002;8/27/2014;Published in a refereed paper;Radial Velocity;242.5958333;43.8216667;18.1;0.9
16 Cyg B b;Confirmed;1.68;1996;8/27/2014;Published in a refereed paper;Radial Velocity;295.4625;50.5175;21.41;1.01
18 Del b;Confirmed;10.3;2008;8/27/2014;Published in a refereed paper;Radial Velocity;314.6083333;10.8391667;73.1;2.3
1I/2017 U1;Confirmed;12.15;2017;11/29/2017;Published in a refereed paper;Imaging;0;0;0;1
1RXS 1609 b;Confirmed;14;2008;3/05/2015;Published in a refereed paper;Imaging;242.375;-21.0827778;145;0.73
1SWASP J1407 b;Confirmed;20;2012;10/29/2014;Published in a refereed paper;Primary Transit;211.95;-39.76194447;133;0.9
24 Sex b;Confirmed;1.99;2010;5/23/2014;Published in a refereed paper;Radial Velocity;155.8666667;0.9022222;74.8;1.54
24 Sex c;Confirmed;0.86;2010;5/23/2014;Published in a refereed paper;Radial Velocity;155.8666667;0.9022222;74.8;1.54
2M 0103-55 (AB) b;Confirmed;13;2013;2/23/2016;Published in a refereed paper;Imaging;15.9;-55.2656;47.2;0.4
2M 0122-24 b;Confirmed;20;2013;2/23/2016;Published in a refereed paper;Imaging;20.7125;-24.6142;36;0.4
2M 0219-39 b;Confirmed;13.9;2015;2/23/2016;Published in a refereed paper;Imaging;34.84166667;-39.42305557;39.4;0.11
2M 0441+23 b;Confirmed;7.5;2010;2/23/2016;Published in a refereed paper;Imaging;70.4375;23.0308333;140;0.02
2M 0746+20 b;Confirmed;30;2010;1/20/2012;Published in a refereed paper;Imaging;116.6791667;20.0088889;12.21;0.12
2M 1207-39;Confirmed;24;2001;3/09/2017;Published in a refereed paper;Imaging;181.8875;-39.5483333;52.4;0.025
2M 1207-39 b;Confirmed;4;2004;2/23/2016;Published in a refereed paper;Imaging;181.8875;-39.5483333;52.4;0.025
2M 1938+46 b;Confirmed;1.9;2015;5/06/2016;Published in a refereed paper;Pulsar;294.6375;46.0663889;38.7;0.6
2M 2140+16 b;Confirmed;20;2010;1/20/2012;Published in a refereed paper;Imaging;325.1208333;16.4216667;25;0.08
2M 2206-20 b;Confirmed;30;2010;1/20/2012;Published in a refereed paper;Imaging;331.5958333;-20.785;26.67;0.13
2M 2236+4751 b;Confirmed;12.5;2016;11/03/2016;Published in a refereed paper;Imaging;339.1041667;47.86194447;63;0.6
2M J2126-81 b;Confirmed;13.3;2016;2/23/2016;Published in a refereed paper;Imaging;321.3666667;-81.64111113;24.75;0.4
2M1450-7841 B b;Confirmed;0.04;2017;12/05/2017;Published in a refereed paper;Imaging;222.6708333;-78.69388891;75;0.04
2M1450-7841 b;Confirmed;0.04;2017;12/05/2017;Published in a refereed paper;Imaging;222.675;-78.69472225;75;40
2M2250+2325;Confirmed;30;2017;12/01/2017;Published in a refereed paper;Imaging;342.5625;23.42611113;41.5;27.07333333
2MASS J11193254 AB;Confirmed;3.7;2017;6/30/2017;Published in a refereed paper;Imaging;169.8855958;-11.62963891;40.45;14.14666667
30 Ari B b;Confirmed;9.88;2009;11/27/2009;Published in a refereed paper;Radial Velocity;39.2416667;24.6480556;39.4;1.22
38 Vir b;Confirmed;4.51;2016;2/20/2017;Published in a refereed paper;Primary Transit;193.2964895;-3.553099291;58.95;1.18
4 Uma b;Confirmed;7.1;2007;8/27/2014;Published in a refereed paper;Radial Velocity;130.0541667;64.3280556;78.5;1.234
42 Dra b;Confirmed;3.88;2009;3/23/2009;Published in a refereed paper;Radial Velocity;276.4958333;65.5636111;97.3;0.98
47 Uma b;Confirmed;2.53;1996;8/27/2014;Published in a refereed paper;Radial Velocity;164.8708333;40.4294444;13.97;1.03
47 Uma c;Confirmed;0.54;2001;8/27/2014;Published in a refereed paper;Radial Velocity;164.8708333;40.4294444;13.97;1.03
47 Uma d;Confirmed;1.64;2010;8/27/2014;Published in a refereed paper;Radial Velocity;164.8708333;40.4294444;13.97;1.03
51 Eri b;Confirmed;9.1;2015;4/13/2017;Published in a refereed paper;Imaging;69.40055143;-2.473548598;29.4;1.75
51 Peg b;Confirmed;0.47;1995;1/26/2017;Published in a refereed paper;Radial Velocity;344.3625;20.7686111;14.7;1.11
55 Cnc b;Confirmed;0.84;1996;6/11/2017;Published in a refereed paper;Radial Velocity;133.1541667;28.3338889;12.34;0.905
55 Cnc c;Confirmed;0.1784;2002;6/11/2017;Published in a refereed paper;Radial Velocity;133.1541667;28.3338889;12.34;0.905
55 Cnc d;Confirmed;3.86;2002;6/11/2017;Published in a refereed paper;Radial Velocity;133.1541667;28.3338889;12.34;0.905
55 Cnc e;Confirmed;0.02547;2004;6/11/2017;Published in a refereed paper;Primary Transit;133.1541667;28.3338889;12.34;0.905
55 Cnc f;Confirmed;0.1479;2007;6/11/2017;Published in a refereed paper;Radial Velocity;133.1541667;28.3338889;12.34;0.905
6 Lyn b;Confirmed;69;2008;8/27/2014;Published in a refereed paper;Radial Velocity;97.6958333;58.1627778;56.9;1.7
61 Vir b;Confirmed;0.016;2009;12/15/2009;Published in a refereed paper;Radial Velocity;199.6;-18.3111111;8.52;0.95
61 Vir c;Confirmed;0.0573;2009;12/15/2009;Published in a refereed paper;Radial Velocity;199.6;-18.3111111;8.52;0.95
61 Vir d;Confirmed;0.072;2009;12/15/2009;Published in a refereed paper;Radial Velocity;199.6;-18.3111111;8.52;0.95
7 CMa b;Confirmed;2.46;2011;10/19/2015;Published in a refereed paper;Radial Velocity;99.1708333;-19.2558333;19.75;1.52
70 Vir b;Confirmed;6.6;1996;12/29/2010;Published in a refereed paper;Radial Velocity;202.1083333;13.7866667;22;0.92
75 Cet b;Confirmed;3;2012;9/03/2012;Published in a refereed paper;Radial Velocity;38.0375;-1.035;81.5;2.49
8 Umi b;Confirmed;1.5;2015;10/01/2015;Published in a refereed paper;Radial Velocity;224.2;74.90083335;159.1;1.8
81 Cet b;Confirmed;5.3;2008;8/27/2014;Published in a refereed paper;Radial Velocity;39.425;-3.3961111;97.2;2.4
91 Aqr b;Confirmed;3.2;2003;8/21/2015;Published in a refereed paper;Radial Velocity;348.9708333;-9.0875;45.9;1.4
AB Pic b;Confirmed;13.5;2005;12/06/2010;Published in a refereed paper;Imaging;94.8;-58.0541667;47.3;1.15
AS 205 A b;Confirmed;19.25;2017;6/08/2017;Published in a refereed paper;Radial Velocity;242.8791667;-18.6402778;140;0.9
Aldebaran b;Confirmed;6.47;1998;5/15/2015;Published in a refereed paper;Radial Velocity;68.9791667;16.5091667;20.43;1.13
BD+03 2562 b;Confirmed;6.4;2017;6/30/2017;Published in a refereed paper;Radial Velocity;177.5648029;2.760131134;2618;1.14
BD+14 4559 b;Confirmed;1.47;2009;2/23/2016;Published in a refereed paper;Radial Velocity;318.4;14.6894444;50;0.86
BD+15 2375 b;Confirmed;1.06;2016;3/21/2016;Published in a refereed paper;Radial Velocity;176.4833334;14.61638891;774;1.08
BD+15 2940 b;Confirmed;1.11;2013;4/30/2013;Published in a refereed paper;Radial Velocity;240.0958;15.5469;585;1.1
BD+20 1790 b;Confirmed;6.37;2009;5/04/2017;Announced on a professional conference;Other;110.9333333;20.4141667;25.4;0.63
BD+20 2457 b;Confirmed;21.42;2009;2/23/2016;Published in a refereed paper;Radial Velocity;154.1875;19.8913889;200;2.8
BD+20 2457 c;Confirmed;12.47;2009;2/23/2016;Published in a refereed paper;Radial Velocity;154.1875;19.8913889;200;2.8
BD+20 274 c;Confirmed;4.2;2012;1/17/2013;Published in a refereed paper;Radial Velocity;25.9208333;21.005;176.05;0.8
BD+20 594 b;Confirmed;0.0513;2016;2/23/2016;Published in a refereed paper;Primary Transit;53.65000001;20.59916669;152.1;0.961
BD+24 4697 b;Confirmed;53;2016;2/10/2016;Published in a refereed paper;Radial Velocity;345.4125;25.78805558;48.8;0.75
BD+26 1888 b;Confirmed;26;2016;2/10/2016;Published in a refereed paper;Radial Velocity;135.6291667;25.88944447;38;0.76
BD+48 738 b;Confirmed;0.91;2011;2/23/2016;Submitted to a professional journal;Radial Velocity;40.7083333;49.5869444;32;0.74
BD+49 828 b;Confirmed;1.6;2015;7/26/2015;Published in a refereed paper;Radial Velocity;45.64166668;49.73000003;26;1.52
BD-06 1339 b;Confirmed;0.027;2013;5/04/2017;Published in a refereed paper;Radial Velocity;88.25;-5.9947;20;0.7
BD-06 1339 c;Confirmed;0.17;2013;5/04/2017;Published in a refereed paper;Radial Velocity;88.25;-5.9947;20;0.7
BD-06 1339 d;Confirmed;0.091;2014;5/04/2017;Published in a refereed paper;Radial Velocity;88.25;-5.9947;20;0.7
BD-08 2823 b;Confirmed;0.045;2009;2/23/2016;Submitted to a professional journal;Radial Velocity;150.2;-9.5166667;42.2;0.74
BD-08 2823 c;Confirmed;0.33;2009;2/23/2016;Submitted to a professional journal;Radial Velocity;150.2;-9.5166667;42.2;0.74
BD-10 3166 b;Confirmed;0.46;2000;2/24/2015;Published in a refereed paper;Radial Velocity;164.6166667;-10.7702778;66;0.99
BD-11 4672 b;Confirmed;0.53;2010;2/23/2016;Published in a refereed paper;Radial Velocity;278.3708333;-11.63611113;27.3;0.571
BD-17 63 b;Confirmed;5.1;2008;8/27/2014;Published in a refereed paper;Radial Velocity;7.1416667;-16.2263889;34.6;0.74
CD-35 2722 b;Confirmed;31;2011;2/23/2011;Published in a refereed paper;Imaging;92.33004292;-35.82533225;21.3;0.4
CFBDS 1458 ;Confirmed;25.2;2010;3/09/2017;Published in a refereed paper;Imaging;224.6208333;10.2286111;31.9;0.024
CFBDS 1458 b;Confirmed;10.5;2011;3/10/2017;Published in a refereed paper;Imaging;224.6208333;10.2286111;31.9;0.024
CFBDSIR J2149-0403;Confirmed;21;2017;6/30/2017;Published in a refereed paper;Imaging;327.4466667;-4.052472225;55.2;0.187
CHXR 73 b;Confirmed;12;2006;5/25/2014;Published in a refereed paper;Imaging;166.6208333;-77.6258333;91.8;0.35
CI Tau b;Confirmed;12.31;2016;3/07/2017;Published in a refereed paper;Radial Velocity;68.46666668;22.84166669;128.4;0.8
CT Cha b;Confirmed;17;2008;9/24/2008;Published in a refereed paper;Imaging;166.0375;-76.4552778;165;0.595
CVSO 30 b ;Confirmed;6.2;2012;6/12/2016;Published in a refereed paper;Primary Transit;81.2833333;1.5733333;330;0.39
CoRoT-1 b;Confirmed;1.03;2007;1/24/2014;Published in a refereed paper;Primary Transit;102.0791667;-3.1022222;460;0.95
CoRoT-10 b;Confirmed;2.75;2010;8/29/2014;Published in a refereed paper;Primary Transit;291.0625;0.7461111;345;0.89
CoRoT-11 b;Confirmed;2.33;2010;8/17/2014;Published in a refereed paper;Primary Transit;280.6875;5.9377778;560;1.27
CoRoT-12 b;Confirmed;0.917;2010;8/16/2014;Published in a refereed paper;Primary Transit;100.7666667;-1.2963889;1150;1.078
CoRoT-13 b;Confirmed;1.308;2010;8/16/2014;Published in a refereed paper;Primary Transit;102.7208333;-5.0863889;1310;1.09
